sample_id,official_split,scene_label,image_path,mask_path,width,height,image_mode,mask_mode,image_sha256,mask_sha256,image_dhash,exact_duplicate_group,requires_image_resize,class_0_pixels,class_0_present,class_0_fraction,class_1_pixels,class_1_present,class_1_fraction,class_2_pixels,class_2_present,class_2_fraction,class_3_pixels,class_3_present,class_3_fraction,class_4_pixels,class_4_present,class_4_fraction,class_5_pixels,class_5_present,class_5_fraction,class_6_pixels,class_6_present,class_6_fraction,class_7_pixels,class_7_present,class_7_fraction,class_8_pixels,class_8_present,class_8_fraction,class_9_pixels,class_9_present,class_9_fraction
10165,Train/Labeled,Flooded,Train/Labeled/Flooded/image/10165.jpg,Train/Labeled/Flooded/mask/10165_lab.png,4000,3000,RGB,L,b9d100cceff7ed0e714212dd69d1201931931bee1d4c4fbf00139771c0080f8e,c2f0bfc7c125979c6451f9f3049c8fb0dba2c8f38e6261b14ba011a4b6ded0c0,8c8444444108084cf0f9fcf8780f0006,,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,12000000,1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
10166,Train/Labeled,Flooded,Train/Labeled/Flooded/image/10166.jpg,Train/Labeled/Flooded/mask/10166_lab.png,4000,3000,RGB,L,8f42e46bda0711380ec33ff3918bc95bf8991d88278181f6d2ce1bf902ffc786,c2f0bfc7c125979c6451f9f3049c8fb0dba2c8f38e6261b14ba011a4b6ded0c0,cecccc44444c480873fcd080a9b8e047,,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,12000000,1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
6279,Train/Labeled,Flooded,Train/Labeled/Flooded/image/6279.jpg,Train/Labeled/Flooded/mask/6279_lab.png,4000,3000,RGB,L,76f3446ac4e965d56ed4714aeb7eec4d942aeb1944b6901f8d3c17e8106db00b,a9ddfb860ec57ad4ffd51fe56e0c3783e34451e8b64e9986c73f44ad90ce23da,1b19181c05191c14fce40630c0c576fe,,0,0,0,0.0,0,0,0.0,297765,1,0.02481375,0,0,0.0,0,0,0.0,1903647,1,0.15863725,7264970,1,0.6054141666666667,0,0,0.0,0,0,0.0,2533618,1,0.21113483333333333
6614,Train/Labeled,Flooded,Train/Labeled/Flooded/image/6614.jpg,Train/Labeled/Flooded/mask/6614_lab.png,4592,3072,RGB,L,f9f78b2d9a37ac8259b277af940c784f6ffba4b6702494eeca7615c9370a8a85,a312c720f1a73f80bad64ad450bc29474742c9d1247042b4da5378ca624eb58e,860405457474f4e6140c0c0e1a3af3e3,,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1300549,1,0.10837908333333333,3096993,1,0.25808275,514345,1,0.042862083333333335,0,0,0.0,0,0,0.0,7088113,1,0.5906760833333333
6615,Train/Labeled,Flooded,Train/Labeled/Flooded/image/6615.jpg,Train/Labeled/Flooded/mask/6615_lab.png,4592,3072,RGB,L,346393801b2f0af6a0470a7faeeafea3da8a57543b91b8fedbaf55b860d307b2,4a6b75a37a960eede4dc4c5d49a324b0d6dd3e7876dd0a3fa817d3db54fd8db4,130206040c4d4574223c3c1d0c080c1f,,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,1223085,1,0.10192375,4459285,1,0.3716070833333333,876883,1,0.07307358333333333,0,0,0.0,0,0,0.0,5440747,1,0.45339558333333335
6618,Train/Labeled,Flooded,Train/Labeled/Flooded/image/6618.jpg,Train/Labeled/Flooded/mask/6618_lab.png,4592,3072,RGB,L,3c34843c365e59018cdc0e9e5c0dc1efdbfcdd9ab5c759558e907a234641cdd9,0d6f4419baa7afc920150af8d7738a1e0e11591fe37c5588f0321dfcb1e05555,736b67232306040d006171fbcee6fd6d,,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2828191,1,0.23568258333333333,1085814,1,0.0904845,0,0,0.0,0,0,0.0,8085995,1,0.6738329166666667
6703,Train/Labeled,Flooded,Train/Labeled/Flooded/image/6703.jpg,Train/Labeled/Flooded/mask/6703_lab.png,4592,3072,RGB,L,88a420cb704e2dc39af4beaa3127fa63397fab1bc99c08ba1c99d5db1259bccf,1ba38e0988aec6f291e6cea98dd68e23c27b379fb42e8621fc6f4cdafd93e89e,1c1c12129e9c929afd187f00601f5f05,,1,0,0,0.0,883109,1,0.07359241666666666,2646193,1,0.22051608333333333,1126234,1,0.09385283333333333,0,0,0.0,497140,1,0.04142833333333333,3126340,1,0.2605283333333333,53843,1,0.004486916666666667,42913,1,0.0035760833333333335,3624228,1,0.302019
6704,Train/Labeled,Flooded,Train/Labeled/Flooded/image/6704.jpg,Train/Labeled/Flooded/mask/6704_lab.png,4592,3072,RGB,L,91043dd940fd269e1f90abd14b76b16715371398ffdf4d648320c91dcda32c22,07122c5b63f0fe95dec6d3d14a98b3e778203d9937c0a26ed1a5aea77441aacc,0f0f1e1c1832129e03fcdffd1aff00c0,,1,0,0,0.0,1037484,1,0.086457,1839000,1,0.15325,2182288,1,0.18185733333333334,0,0,0.0,589626,1,0.0491355,3092077,1,0.25767308333333333,46898,1,0.0039081666666666666,98941,1,0.008245083333333333,3113686,1,0.25947383333333335
6706,Train/Labeled,Flooded,Train/Labeled/Flooded/image/6706.jpg,Train/Labeled/Flooded/mask/6706_lab.png,4592,3072,RGB,L,3cae37b17e07eb880ab5e128966b29bf4b200f9cc431bc3f7019f2024c96a13f,a63c0713bef43752245a4941fddfbc47e969ae8a83ea433ef112c51871b5f012,1a180926a0849d9c7d44377e40011dde,,1,0,0,0.0,0,0,0.0,2282342,1,0.19019516666666667,1839203,1,0.15326691666666667,0,0,0.0,0,0,0.0,2442503,1,0.20354191666666666,33787,1,0.002815583333333333,68673,1,0.00572275,5333492,1,0.44445766666666664
6707,Train/Labeled,Flooded,Train/Labeled/Flooded/image/6707.jpg,Train/Labeled/Flooded/mask/6707_lab.png,4592,3072,RGB,L,cc64529eca7bd031e8effb99227026b98a729894d477bc5f701e60ccee444e85,bf3e1dab07bdd93f12c14d8ebdf472265e5ee0226ce2b05bae5bc7e9d94e6d4c,1200020201c986807001791c377fe000,,1,0,0,0.0,342148,1,0.028512333333333334,2316893,1,0.19307441666666667,1331285,1,0.11094041666666667,0,0,0.0,346109,1,0.028842416666666666,1634116,1,0.13617633333333334,63990,1,0.0053325,96987,1,0.00808225,5868472,1,0.4890393333333333
6716,Train/Labeled,Flooded,Train/Labeled/Flooded/image/6716.jpg,Train/Labeled/Flooded/mask/6716_lab.png,4592,3072,RGB,L,0803a985cbb4580196aca19212600a36adf6bd2cf8c86a3a80febd74a4304f80,0d487d3aa9af7fda16c24fd6b7ca28b5127b903d0096acf44f8ebde78832504a,f3e1a332309c8c0c6c97930ecce6f0b0,,1,0,0,0.0,3394973,1,0.28291441666666667,0,0,0.0,2535267,1,0.21127225,0,0,0.0,0,0,0.0,3332044,1,0.27767033333333335,111687,1,0.00930725,125964,1,0.010497,2500065,1,0.20833875
7199,Train/Labeled,Flooded,Train/Labeled/Flooded/image/7199.jpg,Train/Labeled/Flooded/mask/7199_lab.png,4000,3000,RGB,L,faf9d8f0ad0f62ee9abc3f06aea302b0bc68321b5f061a649755667823e392d2,fc28faf981a301cdeb4b24c52681a4cc5c8a3bf8ff3cafb69ed7182951135f4a,0414d5c6c2c08084c6393f3b9ccccfc7,,0,387707,1,0.032308916666666666,0,0,0.0,0,0,0.0,0,0,0.0,486367,1,0.040530583333333335,2462477,1,0.20520641666666667,6571102,1,0.5475918333333334,0,0,0.0,0,0,0.0,2092347,1,0.17436225
7202,Train/Labeled,Flooded,Train/Labeled/Flooded/image/7202.jpg,Train/Labeled/Flooded/mask/7202_lab.png,4000,3000,RGB,L,88f6222804827d2b75d577557f9f568bddfd0f16dfe0f68716972bf0ae40dcdd,af584859e47735b3abaeccf1183f220b65995a5647157643633b467442242c13,8b1b118e86040909dd1e23c2e0fcdc41,,0,443958,1,0.0369965,0,0,0.0,230070,1,0.0191725,0,0,0.0,505451,1,0.04212091666666667,850614,1,0.0708845,7507959,1,0.62566325,0,0,0.0,0,0,0.0,2461948,1,0.20516233333333334
7240,Train/Labeled,Flooded,Train/Labeled/Flooded/image/7240.jpg,Train/Labeled/Flooded/mask/7240_lab.png,4592,3072,RGB,L,8626ccc7a522fb5b14fff09f200beaea8a469fcd3361345565d65cc78fb5ca33,fe057c6bf0507348da3647bfce5bd6dd5bd85312032582d74f94d9af58f354c8,efedd1bc8cce62f170e886f6f3b8393c,,1,0,0,0.0,2632886,1,0.21940716666666665,0,0,0.0,3429089,1,0.28575741666666665,0,0,0.0,0,0,0.0,3924925,1,0.32707708333333335,85987,1,0.007165583333333334,118328,1,0.009860666666666667,1808785,1,0.15073208333333332
7243,Train/Labeled,Flooded,Train/Labeled/Flooded/image/7243.jpg,Train/Labeled/Flooded/mask/7243_lab.png,4592,3072,RGB,L,ef65b5aa7bf6ca671bd6a14457724941cf3ec920837f015cc28308e00d0b6662,0270f5bcf8e3c21de5ce432bf31ef464d60f730b974149445d6bed87737142d2,f6cdd9f466f2d9d8050816f3f80c7f3e,,1,0,0,0.0,2462196,1,0.205183,0,0,0.0,1649449,1,0.13745408333333334,0,0,0.0,5013773,1,0.4178144166666667,2643858,1,0.2203215,118213,1,0.009851083333333333,112511,1,0.009375916666666666,0,0,0.0
7261,Train/Labeled,Flooded,Train/Labeled/Flooded/image/7261.jpg,Train/Labeled/Flooded/mask/7261_lab.png,4592,3072,RGB,L,dfe339fd0a016f8b878f0074f2a1c4580317716f9fcb8fba8f893988ede3876c,9f664f408d173da756025382ae062149d2ff568aca010ced04469e99c6af3e76,ccccc4da9c9d989ccec1cb8f1d180600,,1,0,0,0.0,1037459,1,0.08645491666666667,0,0,0.0,8543710,1,0.7119758333333334,0,0,0.0,1749356,1,0.14577966666666667,650529,1,0.05421075,18946,1,0.0015788333333333333,0,0,0.0,0,0,0.0
7266,Train/Labeled,Flooded,Train/Labeled/Flooded/image/7266.jpg,Train/Labeled/Flooded/mask/7266_lab.png,4592,3072,RGB,L,220b206cd759ea2cfbc041f48019eb524666c20be92a83e2121a88125ba97f80,315f7a38469f0dd3f6bdff7ff67c61f086e43098fd248ff82472609c238ede9d,f0f0fcfcfdeceeee0e8f878100000303,,1,0,0,0.0,0,0,0.0,109680,1,0.00914,0,0,0.0,0,0,0.0,9915954,1,0.8263295,1365028,1,0.11375233333333333,0,0,0.0,0,0,0.0,609338,1,0.050778166666666666
