sample_id,split,scene_label,image_path,mask_path,group_id
10166,train,Flooded,Train/Labeled/Flooded/image/10166.jpg,Train/Labeled/Flooded/mask/10166_lab.png,10166
10175,train,Non-Flooded,Train/Labeled/Non-Flooded/image/10175.jpg,Train/Labeled/Non-Flooded/mask/10175_lab.png,10175
10176,train,Non-Flooded,Train/Labeled/Non-Flooded/image/10176.jpg,Train/Labeled/Non-Flooded/mask/10176_lab.png,10176
10811,train,Non-Flooded,Train/Labeled/Non-Flooded/image/10811.jpg,Train/Labeled/Non-Flooded/mask/10811_lab.png,10811
10817,train,Non-Flooded,Train/Labeled/Non-Flooded/image/10817.jpg,Train/Labeled/Non-Flooded/mask/10817_lab.png,10817
10819,train,Non-Flooded,Train/Labeled/Non-Flooded/image/10819.jpg,Train/Labeled/Non-Flooded/mask/10819_lab.png,10819
10828,train,Non-Flooded,Train/Labeled/Non-Flooded/image/10828.jpg,Train/Labeled/Non-Flooded/mask/10828_lab.png,10828
10836,train,Non-Flooded,Train/Labeled/Non-Flooded/image/10836.jpg,Train/Labeled/Non-Flooded/mask/10836_lab.png,10836
10837,train,Non-Flooded,Train/Labeled/Non-Flooded/image/10837.jpg,Train/Labeled/Non-Flooded/mask/10837_lab.png,10837
6279,train,Flooded,Train/Labeled/Flooded/image/6279.jpg,Train/Labeled/Flooded/mask/6279_lab.png,6279
6332,train,Non-Flooded,Train/Labeled/Non-Flooded/image/6332.jpg,Train/Labeled/Non-Flooded/mask/6332_lab.png,6332
6338,train,Non-Flooded,Train/Labeled/Non-Flooded/image/6338.jpg,Train/Labeled/Non-Flooded/mask/6338_lab.png,6338
6348,train,Non-Flooded,Train/Labeled/Non-Flooded/image/6348.jpg,Train/Labeled/Non-Flooded/mask/6348_lab.png,6348
6368,train,Non-Flooded,Train/Labeled/Non-Flooded/image/6368.jpg,Train/Labeled/Non-Flooded/mask/6368_lab.png,6368
6370,train,Non-Flooded,Train/Labeled/Non-Flooded/image/6370.jpg,Train/Labeled/Non-Flooded/mask/6370_lab.png,6370
6393,train,Non-Flooded,Train/Labeled/Non-Flooded/image/6393.jpg,Train/Labeled/Non-Flooded/mask/6393_lab.png,6393
6395,train,Non-Flooded,Train/Labeled/Non-Flooded/image/6395.jpg,Train/Labeled/Non-Flooded/mask/6395_lab.png,6395
6413,train,Non-Flooded,Train/Labeled/Non-Flooded/image/6413.jpg,Train/Labeled/Non-Flooded/mask/6413_lab.png,6413
6421,train,Non-Flooded,Train/Labeled/Non-Flooded/image/6421.jpg,Train/Labeled/Non-Flooded/mask/6421_lab.png,6421
6426,train,Non-Flooded,Train/Labeled/Non-Flooded/image/6426.jpg,Train/Labeled/Non-Flooded/mask/6426_lab.png,6426
6447,train,Non-Flooded,Train/Labeled/Non-Flooded/image/6447.jpg,Train/Labeled/Non-Flooded/mask/6447_lab.png,6447
6454,train,Non-Flooded,Train/Labeled/Non-Flooded/image/6454.jpg,Train/Labeled/Non-Flooded/mask/6454_lab.png,6454
6458,train,Non-Flooded,Train/Labeled/Non-Flooded/image/6458.jpg,Train/Labeled/Non-Flooded/mask/6458_lab.png,6458
6459,train,Non-Flooded,Train/Labeled/Non-Flooded/image/6459.jpg,Train/Labeled/Non-Flooded/mask/6459_lab.png,6459
6463,train,Non-Flooded,Train/Labeled/Non-Flooded/image/6463.jpg,Train/Labeled/Non-Flooded/mask/6463_lab.png,6463
6465,train,Non-Flooded,Train/Labeled/Non-Flooded/image/6465.jpg,Train/Labeled/Non-Flooded/mask/6465_lab.png,6465
6477,train,Non-Flooded,Train/Labeled/Non-Flooded/image/6477.jpg,Train/Labeled/Non-Flooded/mask/6477_lab.png,6477
6478,train,Non-Flooded,Train/Labeled/Non-Flooded/image/6478.jpg,Train/Labeled/Non-Flooded/mask/6478_lab.png,6478
6512,train,Non-Flooded,Train/Labeled/Non-Flooded/image/6512.jpg,Train/Labeled/Non-Flooded/mask/6512_lab.png,6512
6540,train,Non-Flooded,Train/Labeled/Non-Flooded/image/6540.jpg,Train/Labeled/Non-Flooded/mask/6540_lab.png,6540
6549,train,Non-Flooded,Train/Labeled/Non-Flooded/image/6549.jpg,Train/Labeled/Non-Flooded/mask/6549_lab.png,6549
6555,train,Non-Flooded,Train/Labeled/Non-Flooded/image/6555.jpg,Train/Labeled/Non-Flooded/mask/6555_lab.png,6555
6564,train,Non-Flooded,Train/Labeled/Non-Flooded/image/6564.jpg,Train/Labeled/Non-Flooded/mask/6564_lab.png,6564
6585,train,Non-Flooded,Train/Labeled/Non-Flooded/image/6585.jpg,Train/Labeled/Non-Flooded/mask/6585_lab.png,6585
6586,train,Non-Flooded,Train/Labeled/Non-Flooded/image/6586.jpg,Train/Labeled/Non-Flooded/mask/6586_lab.png,6586
6589,train,Non-Flooded,Train/Labeled/Non-Flooded/image/6589.jpg,Train/Labeled/Non-Flooded/mask/6589_lab.png,6589
6600,train,Non-Flooded,Train/Labeled/Non-Flooded/image/6600.jpg,Train/Labeled/Non-Flooded/mask/6600_lab.png,6600
6615,train,Flooded,Train/Labeled/Flooded/image/6615.jpg,Train/Labeled/Flooded/mask/6615_lab.png,6615
6618,train,Flooded,Train/Labeled/Flooded/image/6618.jpg,Train/Labeled/Flooded/mask/6618_lab.png,6618
